Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;14 Murcia, Región de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;1
Total Nacional;14 Murcia, Región de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;0
Total Nacional;14 Murcia, Región de;17  Industria del papel;Total;2
Total Nacional;14 Murcia, Región de;17  Industria del papel;Cero;1
Total Nacional;14 Murcia, Región de;17  Industria del papel;1 a 4;0
Total Nacional;14 Murcia, Región de;17  Industria del papel;5 a 9;1
Total Nacional;14 Murcia, Región de;17  Industria del papel;10 y más;0
Total Nacional;14 Murcia, Región de;18  Artes gráficas y reproducción de soportes grabados;Total;22
Total Nacional;14 Murcia, Región de;18  Artes gráficas y reproducción de soportes grabados;Cero;20
Total Nacional;14 Murcia, Región de;18  Artes gráficas y reproducción de soportes grabados;1 a 4;2
Total Nacional;14 Murcia, Región de;18  Artes gráficas y reproducción de soportes grabados;5 a 9;0
Total Nacional;14 Murcia, Región de;18  Artes gráficas y reproducción de soportes grabados;10 y más;0
Total Nacional;14 Murcia, Región de;19  Coquerías y refino de petróleo;Total;0
Total Nacional;14 Murcia, Región de;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;14 Murcia, Región de;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;14 Murcia, Región de;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;14 Murcia, Región de;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;14 Murcia, Región de;20  Industria química;Total;9
Total Nacional;14 Murcia, Región de;20  Industria química;Cero;7
Total Nacional;14 Murcia, Región de;20  Industria química;1 a 4;2
Total Nacional;14 Murcia, Región de;20  Industria química;5 a 9;0
Total Nacional;14 Murcia, Región de;20  Industria química;10 y más;0
Total Nacional;14 Murcia, Región de;21  Fabricación de productos farmacéuticos;Total;2
Total Nacional;14 Murcia, Región de;21  Fabricación de productos farmacéuticos;Cero;0
Total Nacional;14 Murcia, Región de;21  Fabricación de productos farmacéuticos;1 a 4;1
Total Nacional;14 Murcia, Región de;21  Fabricación de productos farmacéuticos;5 a 9;1
Total Nacional;14 Murcia, Región de;21  Fabricación de productos farmacéuticos;10 y más;0
Total Nacional;14 Murcia, Región de;22  Fabricación de productos de caucho y plásticos;Total;5
Total Nacional;14 Murcia, Región de;22  Fabricación de productos de caucho y plásticos;Cero;2
Total Nacional;14 Murcia, Región de;22  Fabricación de productos de caucho y plásticos;1 a 4;2
Total Nacional;14 Murcia, Región de;22  Fabricación de productos de caucho y plásticos;5 a 9;1
Total Nacional;14 Murcia, Región de;22  Fabricación de productos de caucho y plásticos;10 y más;0
Total Nacional;14 Murcia, Región de;23  Fabricación de otros productos minerales no metálicos;Total;11
Total Nacional;14 Murcia, Región de;23  Fabricación de otros productos minerales no metálicos;Cero;8
Total Nacional;14 Murcia, Región de;23  Fabricación de otros productos minerales no metálicos;1 a 4;2
Total Nacional;14 Murcia, Región de;23  Fabricación de otros productos minerales no metálicos;5 a 9;1
Total Nacional;14 Murcia, Región de;23  Fabricación de otros productos minerales no metálicos;10 y más;0
Total Nacional;14 Murcia, Región de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;1
Total Nacional;14 Murcia, Región de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;1
Total Nacional;14 Murcia, Región de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;0
Total Nacional;14 Murcia, Región de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;14 Murcia, Región de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
Total Nacional;14 Murcia, Región de;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Total;56
Total Nacional;14 Murcia, Región de;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Cero;40
Total Nacional;14 Murcia, Región de;25  Fabricación de productos metálicos, excepto maquinaria y equipo;1 a 4;14
Total Nacional;14 Murcia, Región de;25  Fabricación de productos metálicos, excepto maquinaria y equipo;5 a 9;1
Total Nacional;14 Murcia, Región de;25  Fabricación de productos metálicos, excepto maquinaria y equipo;10 y más;1
Total Nacional;14 Murcia, Región de;26  Fabricación de productos informáticos, electrónicos y ópticos;Total;5
Total Nacional;14 Murcia, Región de;26  Fabricación de productos informáticos, electrónicos y ópticos;Cero;3
Total Nacional;14 Murcia, Región de;26  Fabricación de productos informáticos, electrónicos y ópticos;1 a 4;2
Total Nacional;14 Murcia, Región de;26  Fabricación de productos informáticos, electrónicos y ópticos;5 a 9;0
Total Nacional;14 Murcia, Región de;26  Fabricación de productos informáticos, electrónicos y ópticos;10 y más;0
Total Nacional;14 Murcia, Región de;27  Fabricación de material y equipo eléctrico;Total;4
Total Nacional;14 Murcia, Región de;27  Fabricación de material y equipo eléctrico;Cero;4
Total Nacional;14 Murcia, Región de;27  Fabricación de material y equipo eléctrico;1 a 4;0
Total Nacional;14 Murcia, Región de;27  Fabricación de material y equipo eléctrico;5 a 9;0
Total Nacional;14 Murcia, Región de;27  Fabricación de material y equipo eléctrico;10 y más;0
Total Nacional;14 Murcia, Región de;28  Fabricación de maquinaria y equipo n.c.o.p.;Total;9
Total Nacional;14 Murcia, Región de;28  Fabricación de maquinaria y equipo n.c.o.p.;Cero;6
Total Nacional;14 Murcia, Región de;28  Fabricación de maquinaria y equipo n.c.o.p.;1 a 4;3
Total Nacional;14 Murcia, Región de;28  Fabricación de maquinaria y equipo n.c.o.p.;5 a 9;0
Total Nacional;14 Murcia, Región de;28  Fabricación de maquinaria y equipo n.c.o.p.;10 y más;0
Total Nacional;14 Murcia, Región de;29  Fabricación de vehículos de motor, remolques y semirremolques;Total;1
Total Nacional;14 Murcia, Región de;29  Fabricación de vehículos de motor, remolques y semirremolques;Cero;0
Total Nacional;14 Murcia, Región de;29  Fabricación de vehículos de motor, remolques y semirremolques;1 a 4;0
Total Nacional;14 Murcia, Región de;29  Fabricación de vehículos de motor, remolques y semirremolques;5 a 9;0
Total Nacional;14 Murcia, Región de;29  Fabricación de vehículos de motor, remolques y semirremolques;10 y más;1
Total Nacional;14 Murcia, Región de;30  Fabricación de otro material de transporte;Total;2
Total Nacional;14 Murcia, Región de;30  Fabricación de otro material de transporte;Cero;2
Total Nacional;14 Murcia, Región de;30  Fabricación de otro material de transporte;1 a 4;0
Total Nacional;14 Murcia, Región de;30  Fabricación de otro material de transporte;5 a 9;0
Total Nacional;14 Murcia, Región de;30  Fabricación de otro material de transporte;10 y más;0
Total Nacional;14 Murcia, Región de;31  Fabricación de muebles;Total;39
Total Nacional;14 Murcia, Región de;31  Fabricación de muebles;Cero;29
Total Nacional;14 Murcia, Región de;31  Fabricación de muebles;1 a 4;6
Total Nacional;14 Murcia, Región de;31  Fabricación de muebles;5 a 9;2
Total Nacional;14 Murcia, Región de;31  Fabricación de muebles;10 y más;2
Total Nacional;14 Murcia, Región de;32  Otras industrias manufactureras;Total;25
Total Nacional;14 Murcia, Región de;32  Otras industrias manufactureras;Cero;20
Total Nacional;14 Murcia, Región de;32  Otras industrias manufactureras;1 a 4;4
Total Nacional;14 Murcia, Región de;32  Otras industrias manufactureras;5 a 9;1
Total Nacional;14 Murcia, Región de;32  Otras industrias manufactureras;10 y más;0
Total Nacional;14 Murcia, Región de;33  Reparación e instalación de maquinaria y equipo;Total;39
Total Nacional;14 Murcia, Región de;33  Reparación e instalación de maquinaria y equipo;Cero;28
Total Nacional;14 Murcia, Región de;33  Reparación e instalación de maquinaria y equipo;1 a 4;10
Total Nacional;14 Murcia, Región de;33  Reparación e instalación de maquinaria y equipo;5 a 9;1
Total Nacional;14 Murcia, Región de;33  Reparación e instalación de maquinaria y equipo;10 y más;0
Total Nacional;14 Murcia, Región de;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Total;3
Total Nacional;14 Murcia, Región de;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Cero;0
Total Nacional;14 Murcia, Región de;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;1 a 4;2
Total Nacional;14 Murcia, Región de;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;5 a 9;1
Total Nacional;14 Murcia, Región de;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;10 y más;0
Total Nacional;14 Murcia, Región de;36  Captación, depuración y distribución de agua;Total;3
Total Nacional;14 Murcia, Región de;36  Captación, depuración y distribución de agua;Cero;1
Total Nacional;14 Murcia, Región de;36  Captación, depuración y distribución de agua;1 a 4;2
Total Nacional;14 Murcia, Región de;36  Captación, depuración y distribución de agua;5 a 9;0
Total Nacional;14 Murcia, Región de;36  Captación, depuración y distribución de agua;10 y más;0
Total Nacional;14 Murcia, Región de;37  Recogida y tratamiento de aguas residuales;Total;2
Total Nacional;14 Murcia, Región de;37  Recogida y tratamiento de aguas residuales;Cero;1
Total Nacional;14 Murcia, Región de;37  Recogida y tratamiento de aguas residuales;1 a 4;1
Total Nacional;14 Murcia, Región de;37  Recogida y tratamiento de aguas residuales;5 a 9;0
Total Nacional;14 Murcia, Región de;37  Recogida y tratamiento de aguas residuales;10 y más;0
Total Nacional;14 Murcia, Región de;38  Recogida, tratamiento y eliminación de residuos valorización;Total;7
Total Nacional;14 Murcia, Región de;38  Recogida, tratamiento y eliminación de residuos valorización;Cero;7
Total Nacional;14 Murcia, Región de;38  Recogida, tratamiento y eliminación de residuos valorización;1 a 4;0
Total Nacional;14 Murcia, Región de;38  Recogida, tratamiento y eliminación de residuos valorización;5 a 9;0
Total Nacional;14 Murcia, Región de;38  Recogida, tratamiento y eliminación de residuos valorización;10 y más;0
Total Nacional;14 Murcia, Región de;39  Actividades de descontaminación y otros servicios de gestión de residuos;Total;3
Total Nacional;14 Murcia, Región de;39  Actividades de descontaminación y otros servicios de gestión de residuos;Cero;3
Total Nacional;14 Murcia, Región de;39  Actividades de descontaminación y otros servicios de gestión de residuos;1 a 4;0
Total Nacional;14 Murcia, Región de;39  Actividades de descontaminación y otros servicios de gestión de residuos;5 a 9;0
Total Nacional;14 Murcia, Región de;39  Actividades de descontaminación y otros servicios de gestión de residuos;10 y más;0
Total Nacional;14 Murcia, Región de;41  Construcción de edificios;Total;626
Total Nacional;14 Murcia, Región de;41  Construcción de edificios;Cero;532
Total Nacional;14 Murcia, Región de;41  Construcción de edificios;1 a 4;71
Total Nacional;14 Murcia, Región de;41  Construcción de edificios;5 a 9;18
Total Nacional;14 Murcia, Región de;41  Construcción de edificios;10 y más;5
Total Nacional;14 Murcia, Región de;42  Ingeniería civil;Total;5
Total Nacional;14 Murcia, Región de;42  Ingeniería civil;Cero;1
Total Nacional;14 Murcia, Región de;42  Ingeniería civil;1 a 4;3
Total Nacional;14 Murcia, Región de;42  Ingeniería civil;5 a 9;0
Total Nacional;14 Murcia, Región de;42  Ingeniería civil;10 y más;1
Total Nacional;14 Murcia, Región de;43  Actividades de construcción especializada;Total;573
Total Nacional;14 Murcia, Región de;43  Actividades de construcción especializada;Cero;444
Total Nacional;14 Murcia, Región de;43  Actividades de construcción especializada;1 a 4;108
Total Nacional;14 Murcia, Región de;43  Actividades de construcción especializada;5 a 9;14
Total Nacional;14 Murcia, Región de;43  Actividades de construcción especializada;10 y más;7
Total Nacional;14 Murcia, Región de;45  Venta y reparación de vehículos de motor y motocicletas;Total;200
Total Nacional;14 Murcia, Región de;45  Venta y reparación de vehículos de motor y motocicletas;Cero;164
Total Nacional;14 Murcia, Región de;45  Venta y reparación de vehículos de motor y motocicletas;1 a 4;31
Total Nacional;14 Murcia, Región de;45  Venta y reparación de vehículos de motor y motocicletas;5 a 9;4
Total Nacional;14 Murcia, Región de;45  Venta y reparación de vehículos de motor y motocicletas;10 y más;1
Total Nacional;14 Murcia, Región de;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Total;682
Total Nacional;14 Murcia, Región de;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Cero;615
Total Nacional;14 Murcia, Región de;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1 a 4;56
Total Nacional;14 Murcia, Región de;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;5 a 9;9
Total Nacional;14 Murcia, Región de;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;10 y más;2
Total Nacional;14 Murcia, Región de;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Total;1.249
Total Nacional;14 Murcia, Región de;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Cero;1.018
Total Nacional;14 Murcia, Región de;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;1 a 4;209
Total Nacional;14 Murcia, Región de;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;5 a 9;18
Total Nacional;14 Murcia, Región de;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;10 y más;4
Total Nacional;14 Murcia, Región de;49  Transporte terrestre y por tubería;Total;259
Total Nacional;14 Murcia, Región de;49  Transporte terrestre y por tubería;Cero;181
Total Nacional;14 Murcia, Región de;49  Transporte terrestre y por tubería;1 a 4;65
Total Nacional;14 Murcia, Región de;49  Transporte terrestre y por tubería;5 a 9;10
Total Nacional;14 Murcia, Región de;49  Transporte terrestre y por tubería;10 y más;3
Total Nacional;14 Murcia, Región de;50  Transporte marítimo y por vías navegables interiores;Total;3
Total Nacional;14 Murcia, Región de;50  Transporte marítimo y por vías navegables interiores;Cero;1
Total Nacional;14 Murcia, Región de;50  Transporte marítimo y por vías navegables interiores;1 a 4;2
Total Nacional;14 Murcia, Región de;50  Transporte marítimo y por vías navegables interiores;5 a 9;0
Total Nacional;14 Murcia, Región de;50  Transporte marítimo y por vías navegables interiores;10 y más;0
Total Nacional;14 Murcia, Región de;51  Transporte aéreo;Total;0
Total Nacional;14 Murcia, Región de;51  Transporte aéreo;Cero;0
Total Nacional;14 Murcia, Región de;51  Transporte aéreo;1 a 4;0
Total Nacional;14 Murcia, Región de;51  Transporte aéreo;5 a 9;0
Total Nacional;14 Murcia, Región de;51  Transporte aéreo;10 y más;0
Total Nacional;14 Murcia, Región de;52  Almacenamiento y actividades anexas al transporte;Total;32
Total Nacional;14 Murcia, Región de;52  Almacenamiento y actividades anexas al transporte;Cero;26
Total Nacional;14 Murcia, Región de;52  Almacenamiento y actividades anexas al transporte;1 a 4;6
Total Nacional;14 Murcia, Región de;52  Almacenamiento y actividades anexas al transporte;5 a 9;0
Total Nacional;14 Murcia, Región de;52  Almacenamiento y actividades anexas al transporte;10 y más;0
Total Nacional;14 Murcia, Región de;53  Actividades postales y de correos;Total;180
Total Nacional;14 Murcia, Región de;53  Actividades postales y de correos;Cero;173
Total Nacional;14 Murcia, Región de;53  Actividades postales y de correos;1 a 4;5
Total Nacional;14 Murcia, Región de;53  Actividades postales y de correos;5 a 9;1
Total Nacional;14 Murcia, Región de;53  Actividades postales y de correos;10 y más;1
Total Nacional;14 Murcia, Región de;55  Servicios de alojamiento;Total;28
Total Nacional;14 Murcia, Región de;55  Servicios de alojamiento;Cero;23
Total Nacional;14 Murcia, Región de;55  Servicios de alojamiento;1 a 4;4
Total Nacional;14 Murcia, Región de;55  Servicios de alojamiento;5 a 9;1
Total Nacional;14 Murcia, Región de;55  Servicios de alojamiento;10 y más;0
Total Nacional;14 Murcia, Región de;56  Servicios de comidas y bebidas;Total;637
Total Nacional;14 Murcia, Región de;56  Servicios de comidas y bebidas;Cero;356
Total Nacional;14 Murcia, Región de;56  Servicios de comidas y bebidas;1 a 4;249
Total Nacional;14 Murcia, Región de;56  Servicios de comidas y bebidas;5 a 9;24
Total Nacional;14 Murcia, Región de;56  Servicios de comidas y bebidas;10 y más;8
Total Nacional;14 Murcia, Región de;58  Edición;Total;14
Total Nacional;14 Murcia, Región de;58  Edición;Cero;14
Total Nacional;14 Murcia, Región de;58  Edición;1 a 4;0
Total Nacional;14 Murcia, Región de;58  Edición;5 a 9;0
Total Nacional;14 Murcia, Región de;58  Edición;10 y más;0
Total Nacional;14 Murcia, Región de;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Total;21
Total Nacional;14 Murcia, Región de;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Cero;17
Total Nacional;14 Murcia, Región de;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;1 a 4;3
Total Nacional;14 Murcia, Región de;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;5 a 9;0
Total Nacional;14 Murcia, Región de;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;10 y más;1
Total Nacional;14 Murcia, Región de;60  Actividades de programación y emisión de radio y televisión;Total;2
Total Nacional;14 Murcia, Región de;60  Actividades de programación y emisión de radio y televisión;Cero;1
Total Nacional;14 Murcia, Región de;60  Actividades de programación y emisión de radio y televisión;1 a 4;1
Total Nacional;14 Murcia, Región de;60  Actividades de programación y emisión de radio y televisión;5 a 9;0
Total Nacional;14 Murcia, Región de;60  Actividades de programación y emisión de radio y televisión;10 y más;0
Total Nacional;14 Murcia, Región de;61  Telecomunicaciones;Total;21
Total Nacional;14 Murcia, Región de;61  Telecomunicaciones;Cero;18
Total Nacional;14 Murcia, Región de;61  Telecomunicaciones;1 a 4;2
Total Nacional;14 Murcia, Región de;61  Telecomunicaciones;5 a 9;0
Total Nacional;14 Murcia, Región de;61  Telecomunicaciones;10 y más;1
Total Nacional;14 Murcia, Región de;62  Programación, consultoría y otras actividades relacionadas con la informática;Total;80
Total Nacional;14 Murcia, Región de;62  Programación, consultoría y otras actividades relacionadas con la informática;Cero;70
Total Nacional;14 Murcia, Región de;62  Programación, consultoría y otras actividades relacionadas con la informática;1 a 4;7
Total Nacional;14 Murcia, Región de;62  Programación, consultoría y otras actividades relacionadas con la informática;5 a 9;3
Total Nacional;14 Murcia, Región de;62  Programación, consultoría y otras actividades relacionadas con la informática;10 y más;0
Total Nacional;14 Murcia, Región de;63  Servicios de información;Total;24
Total Nacional;14 Murcia, Región de;63  Servicios de información;Cero;21
Total Nacional;14 Murcia, Región de;63  Servicios de información;1 a 4;3
Total Nacional;14 Murcia, Región de;63  Servicios de información;5 a 9;0
Total Nacional;14 Murcia, Región de;63  Servicios de información;10 y más;0
Total Nacional;14 Murcia, Región de;64  Servicios financieros, excepto seguros y fondos de pensiones;Total;1
Total Nacional;14 Murcia, Región de;64  Servicios financieros, excepto seguros y fondos de pensiones;Cero;1
Total Nacional;14 Murcia, Región de;64  Servicios financieros, excepto seguros y fondos de pensiones;1 a 4;0
Total Nacional;14 Murcia, Región de;64  Servicios financieros, excepto seguros y fondos de pensiones;5 a 9;0
Total Nacional;14 Murcia, Región de;64  Servicios financieros, excepto seguros y fondos de pensiones;10 y más;0
Total Nacional;14 Murcia, Región de;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Total;0
Total Nacional;14 Murcia, Región de;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Cero;0
Total Nacional;14 Murcia, Región de;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1 a 4;0
Total Nacional;14 Murcia, Región de;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;5 a 9;0
Total Nacional;14 Murcia, Región de;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;10 y más;0
Total Nacional;14 Murcia, Región de;66  Actividades auxiliares a los servicios financieros y a los seguros;Total;214
Total Nacional;14 Murcia, Región de;66  Actividades auxiliares a los servicios financieros y a los seguros;Cero;207
Total Nacional;14 Murcia, Región de;66  Actividades auxiliares a los servicios financieros y a los seguros;1 a 4;7
Total Nacional;14 Murcia, Región de;66  Actividades auxiliares a los servicios financieros y a los seguros;5 a 9;0
Total Nacional;14 Murcia, Región de;66  Actividades auxiliares a los servicios financieros y a los seguros;10 y más;0
Total Nacional;14 Murcia, Región de;68  Actividades inmobiliarias;Total;380
Total Nacional;14 Murcia, Región de;68  Actividades inmobiliarias;Cero;362
Total Nacional;14 Murcia, Región de;68  Actividades inmobiliarias;1 a 4;18
Total Nacional;14 Murcia, Región de;68  Actividades inmobiliarias;5 a 9;0
Total Nacional;14 Murcia, Región de;68  Actividades inmobiliarias;10 y más;0
Total Nacional;14 Murcia, Región de;69  Actividades jurídicas y de contabilidad;Total;195
Total Nacional;14 Murcia, Región de;69  Actividades jurídicas y de contabilidad;Cero;165
Total Nacional;14 Murcia, Región de;69  Actividades jurídicas y de contabilidad;1 a 4;28
Total Nacional;14 Murcia, Región de;69  Actividades jurídicas y de contabilidad;5 a 9;1
Total Nacional;14 Murcia, Región de;69  Actividades jurídicas y de contabilidad;10 y más;1
Total Nacional;14 Murcia, Región de;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Total;44
Total Nacional;14 Murcia, Región de;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Cero;31
Total Nacional;14 Murcia, Región de;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;1 a 4;12
Total Nacional;14 Murcia, Región de;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;5 a 9;1
Total Nacional;14 Murcia, Región de;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;10 y más;0
Total Nacional;14 Murcia, Región de;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Total;177
Total Nacional;14 Murcia, Región de;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Cero;170
Total Nacional;14 Murcia, Región de;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;1 a 4;6
Total Nacional;14 Murcia, Región de;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;5 a 9;1
Total Nacional;14 Murcia, Región de;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;10 y más;0
Total Nacional;14 Murcia, Región de;72  Investigación y desarrollo;Total;32
Total Nacional;14 Murcia, Región de;72  Investigación y desarrollo;Cero;30
Total Nacional;14 Murcia, Región de;72  Investigación y desarrollo;1 a 4;2
Total Nacional;14 Murcia, Región de;72  Investigación y desarrollo;5 a 9;0
Total Nacional;14 Murcia, Región de;72  Investigación y desarrollo;10 y más;0
Total Nacional;14 Murcia, Región de;73  Publicidad y estudios de mercado;Total;153
Total Nacional;14 Murcia, Región de;73  Publicidad y estudios de mercado;Cero;144
Total Nacional;14 Murcia, Región de;73  Publicidad y estudios de mercado;1 a 4;9
Total Nacional;14 Murcia, Región de;73  Publicidad y estudios de mercado;5 a 9;0
Total Nacional;14 Murcia, Región de;73  Publicidad y estudios de mercado;10 y más;0
Total Nacional;14 Murcia, Región de;74  Otras actividades profesionales, científicas y técnicas;Total;141
Total Nacional;14 Murcia, Región de;74  Otras actividades profesionales, científicas y técnicas;Cero;139
Total Nacional;14 Murcia, Región de;74  Otras actividades profesionales, científicas y técnicas;1 a 4;2
Total Nacional;14 Murcia, Región de;74  Otras actividades profesionales, científicas y técnicas;5 a 9;0
Total Nacional;14 Murcia, Región de;74  Otras actividades profesionales, científicas y técnicas;10 y más;0
Total Nacional;14 Murcia, Región de;75  Actividades veterinarias;Total;16
Total Nacional;14 Murcia, Región de;75  Actividades veterinarias;Cero;13
Total Nacional;14 Murcia, Región de;75  Actividades veterinarias;1 a 4;3
Total Nacional;14 Murcia, Región de;75  Actividades veterinarias;5 a 9;0
Total Nacional;14 Murcia, Región de;75  Actividades veterinarias;10 y más;0
Total Nacional;14 Murcia, Región de;77  Actividades de alquiler;Total;68
Total Nacional;14 Murcia, Región de;77  Actividades de alquiler;Cero;66
Total Nacional;14 Murcia, Región de;77  Actividades de alquiler;1 a 4;2
Total Nacional;14 Murcia, Región de;77  Actividades de alquiler;5 a 9;0
Total Nacional;14 Murcia, Región de;77  Actividades de alquiler;10 y más;0
Total Nacional;14 Murcia, Región de;78  Actividades relacionadas con el empleo;Total;19
Total Nacional;14 Murcia, Región de;78  Actividades relacionadas con el empleo;Cero;18
Total Nacional;14 Murcia, Región de;78  Actividades relacionadas con el empleo;1 a 4;1
Total Nacional;14 Murcia, Región de;78  Actividades relacionadas con el empleo;5 a 9;0
Total Nacional;14 Murcia, Región de;78  Actividades relacionadas con el empleo;10 y más;0
Total Nacional;14 Murcia, Región de;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Total;13
Total Nacional;14 Murcia, Región de;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Cero;12
Total Nacional;14 Murcia, Región de;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;1 a 4;1
Total Nacional;14 Murcia, Región de;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;5 a 9;0
Total Nacional;14 Murcia, Región de;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;10 y más;0
Total Nacional;14 Murcia, Región de;80  Actividades de seguridad e investigación;Total;6
Total Nacional;14 Murcia, Región de;80  Actividades de seguridad e investigación;Cero;5
Total Nacional;14 Murcia, Región de;80  Actividades de seguridad e investigación;1 a 4;1
Total Nacional;14 Murcia, Región de;80  Actividades de seguridad e investigación;5 a 9;0
Total Nacional;14 Murcia, Región de;80  Actividades de seguridad e investigación;10 y más;0
Total Nacional;14 Murcia, Región de;81  Servicios a edificios y actividades de jardinería;Total;190
Total Nacional;14 Murcia, Región de;81  Servicios a edificios y actividades de jardinería;Cero;163
Total Nacional;14 Murcia, Región de;81  Servicios a edificios y actividades de jardinería;1 a 4;24
Total Nacional;14 Murcia, Región de;81  Servicios a edificios y actividades de jardinería;5 a 9;3
Total Nacional;14 Murcia, Región de;81  Servicios a edificios y actividades de jardinería;10 y más;0
Total Nacional;14 Murcia, Región de;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Total;266
Total Nacional;14 Murcia, Región de;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Cero;246
Total Nacional;14 Murcia, Región de;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;1 a 4;15
Total Nacional;14 Murcia, Región de;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;5 a 9;3
Total Nacional;14 Murcia, Región de;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;10 y más;2
Total Nacional;14 Murcia, Región de;85  Educación;Total;371
Total Nacional;14 Murcia, Región de;85  Educación;Cero;332
Total Nacional;14 Murcia, Región de;85  Educación;1 a 4;32
Total Nacional;14 Murcia, Región de;85  Educación;5 a 9;6
Total Nacional;14 Murcia, Región de;85  Educación;10 y más;1
Total Nacional;14 Murcia, Región de;86  Actividades sanitarias;Total;301
Total Nacional;14 Murcia, Región de;86  Actividades sanitarias;Cero;273
Total Nacional;14 Murcia, Región de;86  Actividades sanitarias;1 a 4;25
Total Nacional;14 Murcia, Región de;86  Actividades sanitarias;5 a 9;1
Total Nacional;14 Murcia, Región de;86  Actividades sanitarias;10 y más;2
Total Nacional;14 Murcia, Región de;87  Asistencia en establecimientos residenciales;Total;6
Total Nacional;14 Murcia, Región de;87  Asistencia en establecimientos residenciales;Cero;6
Total Nacional;14 Murcia, Región de;87  Asistencia en establecimientos residenciales;1 a 4;0
Total Nacional;14 Murcia, Región de;87  Asistencia en establecimientos residenciales;5 a 9;0
Total Nacional;14 Murcia, Región de;87  Asistencia en establecimientos residenciales;10 y más;0
Total Nacional;14 Murcia, Región de;88  Actividades de servicios sociales sin alojamiento;Total;16
Total Nacional;14 Murcia, Región de;88  Actividades de servicios sociales sin alojamiento;Cero;15
