CPRO;LITPRO;CUMUN;LITMUN;CUDIS;BI_ALVHEPCO_TVC_15;BI_ALVHEPCO_TVU_15;ALQM2mes_LV_M_VC_15;ALQM2mes_LV_25_VC_15;ALQM2mes_LV_75_VC_15;ALQM2mes_LV_M_VU_15;ALQM2mes_LV_25_VU_15;ALQM2mes_LV_75_VU_15;ALQTBID12_M_VC_15;ALQTBID12_25_VC_15;ALQTBID12_75_VC_15;ALQTBID12_M_VU_15;ALQTBID12_25_VU_15;ALQTBID12_75_VU_15;SLVM2_M_VC_15;SLVM2_25_VC_15;SLVM2_75_VC_15;SLVM2_M_VU_15;SLVM2_25_VU_15;SLVM2_75_VU_15;BI_ALVHEPCO_TVC_16;BI_ALVHEPCO_TVU_16;ALQM2mes_LV_M_VC_16;ALQM2mes_LV_25_VC_16;ALQM2mes_LV_75_VC_16;ALQM2mes_LV_M_VU_16;ALQM2mes_LV_25_VU_16;ALQM2mes_LV_75_VU_16;ALQTBID12_M_VC_16;ALQTBID12_25_VC_16;ALQTBID12_75_VC_16;ALQTBID12_M_VU_16;ALQTBID12_25_VU_16;ALQTBID12_75_VU_16;SLVM2_M_VC_16;SLVM2_25_VC_16;SLVM2_75_VC_16;SLVM2_M_VU_16;SLVM2_25_VU_16;SLVM2_75_VU_16;BI_ALVHEPCO_TVC_17;BI_ALVHEPCO_TVU_17;ALQM2mes_LV_M_VC_17;ALQM2mes_LV_25_VC_17;ALQM2mes_LV_75_VC_17;ALQM2mes_LV_M_VU_17;ALQM2mes_LV_25_VU_17;ALQM2mes_LV_75_VU_17;ALQTBID12_M_VC_17;ALQTBID12_25_VC_17;ALQTBID12_75_VC_17;ALQTBID12_M_VU_17;ALQTBID12_25_VU_17;ALQTBID12_75_VU_17;SLVM2_M_VC_17;SLVM2_25_VC_17;SLVM2_75_VC_17;SLVM2_M_VU_17;SLVM2_25_VU_17;SLVM2_75_VU_17;BI_ALVHEPCO_TVC_18;BI_ALVHEPCO_TVU_18;ALQM2mes_LV_M_VC_18;ALQM2mes_LV_25_VC_18;ALQM2mes_LV_75_VC_18;ALQM2mes_LV_M_VU_18;ALQM2mes_LV_25_VU_18;ALQM2mes_LV_75_VU_18;ALQTBID12_M_VC_18;ALQTBID12_25_VC_18;ALQTBID12_75_VC_18;ALQTBID12_M_VU_18;ALQTBID12_25_VU_18;ALQTBID12_75_VU_18;SLVM2_M_VC_18;SLVM2_25_VC_18;SLVM2_75_VC_18;SLVM2_M_VU_18;SLVM2_25_VU_18;SLVM2_75_VU_18
02;Albacete;02024;Casas-Ib†§ez;0202402;17;3;2,90665064102564;1,21225720335083;3,56428571428572;;;;249;150;294;;;;95;77;104;;;;19;1;2,84254807692307;1,62162162162162;4,08179012345679;;;;250;173;338;;;;94;74;101;;;;16;1;2,08333333333333;1,62162162162162;2,86458333333333;;;;220;150;300;;;;96;74;107;;;;17;;2,1641156462585;1,62162162162162;2,83035714285714;;;;220;200;238;;;;95;80;107;;;
02;Albacete;02025;Caudete;0202501;76;18;2,45535714285714;1,94174757281553;4,31034482758621;1,20731707317073;0,9421483761922;2,45408009635652;260;200;420;200;129,166666666667;275;113;96;122;257;168,5;342,5;88;20;2,4390243902439;2,02702702702702;4,3859649122807;1,80952380952381;0,975205843293492;3,33333333333333;270;200;500;244,776666666667;133,333333333333;400;112;100;121;216;151;314;92;21;2,65486725663717;2,04379562043796;4,46428571428572;2,45408009635652;1,1812476928756;3,77779356060606;298;225;500;300;200;519,6875;111;100;122;224;145,75;342,5;121;30;2,72855866587254;2,03168044077135;4,16666666666667;2,16085271317829;1,31974825389516;4,71037147762254;300;213;500;250;200;520;109;95;123;222;157,5;333
02;Albacete;02026;Cenizate;0202601;4;9;;;;;;;;;;;;;;;;;;;4;10;;;;2,77777777777777;1,77680619266055;4,16719586319513;;;;500;300;710;;;;222;166,5;269,5;6;13;;;;2,74024024024024;1,85385379536025;3,68266054600214;;;;600;277,5;695,833333333333;;;;231;172,25;336,75;8;12;;;;2,77777777777777;1,8348623853211;4,63576158940398;;;;660;500;720;;;;285;178;384
02;Albacete;02027;Corral-Rubio;0202701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
02;Albacete;02028;Cotillas;0202801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Albacete;02029;Chinchilla de Monte-Arag¢n;0202901;41;8;4,23624288425048;2,87204625439919;5,97058823529412;;;;350;231;515;;;;91;71;115;;;;51;14;4,1713048855906;3,06123840698309;7,43055194805195;2,97297297297297;1,36342837532531;6,5950641025641;350;283;505;475;187,5;750,000833333333;86;71;100;146;127;219;78;11;4,83870967741936;3,42388306674021;7,4997074997075;3,06306306306307;2,65801188465251;3,82039835164835;350;280;600;400;345;518,75;81;69;100;130,5;127;164,25;82;17;4,66666666666667;3,42388306674021;6,68253968253968;3,41332712022368;1,98103083720646;4,3853021978022;350;298;570;400;356,25;493,75;80;68;102;130,5;127,25;200,75
02;Albacete;02029;Chinchilla de Monte-Arag¢n;0202902;3;8;;;;;;;;;;;;;;;;;;;3;6;;;;;;;;;;;;;;;;;;;7;5;;;;;;;;;;;;;;;;;;;7;13;;;;2,56319883325231;2,0988182242264;3,0397114994772;;;;315;190,762741046832;387,5;;;;138,5;99,25;248
02;Albacete;02030;Elche de la Sierra;0203001;5;3;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;7;5;;;;;;;;;;;;;;;;;;
02;Albacete;02030;Elche de la Sierra;0203002;9;1;;;;;;;;;;;;;;;;;;;10;;2,68817204301075;1,53426791277258;3,8243574607211;;;;250;203;360;;;;107;92;127;;;;10;2;2,66666666666667;1,75207094307562;3,93215480172002;;;;320;214;425;;;;107;95;127;;;;11;2;2,57420924574209;2,02221513605443;3,76220299590929;;;;333;193;459;;;;104;92;133;;;
02;Albacete;02031;FÇrez;0203101;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
02;Albacete;02032;Fuensanta;0203201;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
02;Albacete;02033;Fuente-µlamo;0203301;2;5;;;;;;;;;;;;;;;;;;;2;6;;;;;;;;;;;;;;;;;;;3;9;;;;;;;;;;;;;;;;;;;4;12;;;;2,12962962962963;1,53061224489796;3,4965034965035;;;;275;200;500;;;;212;176;255
02;Albacete;02034;Fuentealbilla;0203401;7;14;;;;1,78310965949933;1,33330452428682;2,67754868270332;;;;260;183,333333333333;432,695810564663;;;;162;103,5;235;7;17;;;;2,75793650793651;1,65834897060193;3,8991206238593;;;;275;185,416666666667;437,50125;;;;142,5;100,75;228,5;10;18;2,57731958762887;2,09074455470262;3,5443338074917;2,88461538461538;2,2764468106083;4,83760577401693;279;233;400;300;250;501,041666666667;110;106;116;127;98;227;8;18;;;;3;2,60115979381443;4,69661427789507;;;;300;250;510;;;;131;103,5;238
